"id","obligation","count"
168,"Das Produkt ist im Dunkeln bei 5°C-25°C zu lagern. Eine angebrochene Packung muss innerhalb von 4 Wochen aufgebraucht werden.",27
169,"Gemäss Chemikalien-Risikoreduktions-Verordnung (ChemRRV, Anhang 2.5): Nur Einzelpflanzenbehandlung anderweitig nicht bekämpfbarer Problempflanzen auf Böschungen und Grünstreifen entlang von Strassen und Gleisanlagen.",27
170,"Nachbau anderer Kulturen: 16 Wochen Wartefrist.",27
171,"Niedrige Aufwandmenge nur in Tankmischung gemäss den Angaben der Bewilligungsinhaberin.",27
172,"Ansetzen der Spritzbrühe: Schutzhandschuhe + Schutzanzug + Schutzbrille oder Visier tragen. Ausbringen der Spritzbrühe: Schutzbrille oder Visier tragen.  Technische Schutzvorrichtungen während des Ausbringens (z.B. geschlossene Traktorkabine) können die vorgeschriebene persönliche Schutzausrüstung ersetzen, wenn gewährleistet ist, dass sie einen vergleichbaren oder höheren Schutz bieten.",26
173,"Ansetzen der Spritzbrühe: Schutzhandschuhe + Schutzbrille + Atemschutzmaske (P3) tragen.",26
174,"Die angegebene Aufwandmenge entspricht der total bewilligten Menge.",26
175,"Nicht auf Früchten einsetzen, die aufgrund von Beschädigungen Fruchtsaft absondern.",26
176,"SPa 1: Zur Vermeidung einer Resistenzbildung maximal 1 Behandlung pro Parzelle und Jahr mit Produkten aus derselben Wirkstoffgruppe.",26
177,"SPe 1 - Zum Schutz von Grundwasser nicht mehr als 0.96 kg des Wirkstoffs Bentazon pro Hektar auf derselben Parzelle innerhalb von 2 Jahren anwenden.",26
178,"Maximal 6 Behandlungen pro Parzelle und Jahr.",25
179,"Auf schnee- und eisfreien Boden.",24
180,"Bei Bedarf Anwendung nach 10-14 Tagen wiederholen.",24
181,"Einsatz in Kombination mit 'Aphidius sp.' oder 'Aphelinus abdominalis'",24
182,"Maximal 1 Behandlung.",24
183,"Bei Verwendung eines Handspritzgeräts sind Schutzhandschuhe und ein Schutzanzug zu tragen.",23
184,"Keine Behandlung während der Blüte.",23
185,"Die angegebene Aufwandmenge bezieht sich auf eine Behandlung der Traubenzone sowie eine Referenzbrühmenge von 1200 l/ha (Berechnungsgrundlage).",22
186,"Die Aufwandmenge bezieht sich auf die effektiv zu behandelnde Fläche.",22
187,"Die Etiketten von Säcken mit behandeltem Saatgut sind mit folgenden Angaben zu versehen:  - Gebeiztes Saatgut. Nicht einnehmen! Überreste dürfen (auch gewaschen) nicht als Futter oder Lebensmittel verwendet werden.  - Die Handelsbezeichnung, Wirkstoff(e), sowie die Sicherheitshinweise des Saatbeizmittels.",22
188,"Maximal 1 Behandlung pro Kultur und Jahr mit diesem Produkt oder einem anderen Produkt, das diesen Wirkstoff enthält.",22
189,"Maximal 4 Behandlungen pro Parzelle und Jahr in dieser Kultur.",22
190,"Produkt nicht bei Temperaturen unter 10°C lagern.",22
191,"SPa 1: Zur Vermeidung einer Resistenzbildung maximal 1 Behandlung pro Kultur mit Produkten aus der Wirkstoffgruppe FRAC Nr.07 (succinate dehydrogenase inhibitors, SDHI).",22
192,"SPe 1 - Zum Schutz von Bodenorganismen maximal 3 Behandlungen pro Parzelle und Jahr mit insgesamt nicht mehr als 500 g des Wirkstoffs Difenoconazol.",22
193,"Anwendung gemäss den technischen Hinweisen der Firma.",21
194,"Die angegebene Aufwandmenge bezieht sich auf Stadium BBCH 00-10 (B-C) und eine Referenzbrühmenge von 1000 l/ha (Berechnungsgrundlage).",21
195,"Keine Anwendung im Hausgarten.",21
196,"Kulturverträglichkeit gemäss den Angaben der Bewilligungsinhaberin beachten.",21
197,"SPe 3: Zum Schutz von Gewässerorganismen eine unbehandelte Pufferzone von 60 m zu Oberflächengewässern einhalten.",21
198,"Ansetzen und Ausbringen der Spritzbrühe: Schutzbrille oder Visier tragen.",20
199,"Behandlungen im Abstand von mindestens 5 Tagen.",20
200,"Bei der Handhabung und beim Aufhängen der Pheromon-Dispenser sind Schutzhandschuhe zu tragen.",20
201,"Die angegebene Aufwandmenge bezieht sich auf Stadium BBCH 07-10 (C-D) und eine Referenzbrühmenge von 800 l/ha (Berechnungsgrundlage).",20
202,"Die Gänge sind gut  abzudichten.",20
203,"Gemäss Chemikalien-Risikoreduktions-Verordnung (ChemRRV): Nur Einzelpflanzenbehandlung anderweitig nicht bekämpfbarer Problempflanzen.",20
204,"Grüne bzw. unverholzte Pflanzenteile der Kulturpflanzen dürfen mit dem Herbizid nicht in Kontakt kommen. Anwendung unter Abschirmung erforderlich.",20
205,"Maximal 3 Behandlungen pro Kultur und Jahr.",20
206,"Maximal 4 Behandlungen pro Parzelle und Jahr.",20
207,"Nach Abschluss der Behandlungszeit: Raum vor dem Wiederbetreten gründlich lüften",20
208,"Nur für Topf- und Containerpflanzen.",20
209,"SPa 1: Zur Vermeidung einer Resistenzbildung maximal 2 Behandlungen pro Kultur mit Produkten aus der Wirkstoffgruppe FRAC Nr 11.",20
210,"Ab 4. Standjahr.",19
211,"Angabe der Kulturen und deren Verträglichkeit.",19
212,"Anwendung nur in Kulturen zur Produktion von frischen Kräutern.",19
213,"Behandlungen im Abstand von 10-14 Tagen.",19
214,"Behandlungen im Abstand von 8-12 Tagen.",19
215,"Bei Frühkartoffeln 2 Wochen Wartefrist.",19
216,"Beim Auftreten der ersten Larven im Boden.",19
217,"Die angegebene Konzentration bezieht sich auf eine Basiswassermenge von 1000 Liter pro Hektare.",19
218,"Gemäss Chemikalien-Risikoreduktions-Verordnung (ChemRRV, Anhang 2.5): Nur Einzelpflanzenbehandlung anderweitig nicht bekämpfbarer Problempflanzen bei National- und Kantonsstrassen.",19
219,"Mit Netzmittelzusatz gemäss Firmenangaben.",19
220,"Nicht mit Adjuvanten oder Blattdüngern mischen.",19
221,"Nur zur Anzucht von Jungpflanzen.",19
222,"Risiko von vorübergehenden Blattchlorosen.",19
223,"Anlageform und Baumbestand möglichst uniform.",18
224,"Anwendung nur im Zwischenreihenbereich.",18
225,"Behandlung gegen Monilia während der Blüte.",18
226,"Beizen des Saatguts: Schutzhandschuhe + Schutzanzug tragen. Technische Schutzvorrichtungen beim Beizvorgang (z.B. geschlossene Systeme) können die vorgeschriebene persönliche Schutzausrüstung ersetzen, wenn gewährleistet ist, dass sie einen vergleichbaren oder höheren Schutz bieten.",18
227,"Die Anwendung von Produkten, die Phosphorwasserstoff freisetzen, darf im Freiland nur von Personen, die im Besitz einer Fachbewilligung für die Schädlingsbekämpfung mit Begasungsmitteln oder einer Fachbewilligung für die Verwendung von Pflanzenschutzmitteln in der Landwirtschaft und im Gartenbau sind, erfolgen. Die Anwendung durch Drittpersonen unter Anleitung eines Inhabers der Fachbewilligung ist nicht zulässig.",18
228,"Die leere Packung muss zweimal mit Wasser gespült werden, bevor sie entsorgt werden darf.",18
229,"In Tankmischung mit 1.2 l/ha Sirocco (60 g/l Metconazole).",18
230,"Maximal 2l/ha.",18
231,"Ansetzen der Spritzbrühe: Schutzhandschuhe + Schutzanzug + Schutzbrille + Atemschutzmaske (A2) tragen. Ausbringen der Spritzbrühe: Schutzhandschuhe + Schutzanzug + Visier + Kopfbedeckung tragen. Technische Schutzvorrichtungen während des Ausbringens (z.B. geschlossene Traktorkabine) können die vorgeschriebene persönliche Schutzausrüstung ersetzen, wenn gewährleistet ist, dass sie einen vergleichbaren oder höheren Schutz bieten.",17
232,"Ansetzen der Spritzbrühe: Schutzhandschuhe + Schutzbrille + Atemschutzmaske (A2) tragen. Ausbringen der Spritzbrühe: Schutzhandschuhe + Schutzanzug + Visier + Kopfbedeckung tragen.",17
233,"Ansetzen der Spritzbrühe: Schutzhandschuhe + Schutzbrille oder Visier tragen. Ausbringen der Spritzbrühe: Schutzhandschuhe + Schutzbrille oder Visier tragen. Technische Schutzvorrichtungen während des Ausbringens (z.B. geschlossene Traktorkabine) können die vorgeschriebene persönliche Schutzausrüstung ersetzen, wenn gewährleistet ist, dass sie einen vergleichbaren oder höheren Schutz bieten.",17
234,"Ausbringen des Granulats von Hand: Schutzhandschuhe + Schutzanzug tragen.",17
235,"Behandlung bei Bedarf nach 5-10 Tagen wiederholen",17
236,"Bei der Anwendung des Mittels Schutzhandschuhe + Schutzbrille tragen.",17
237,"Beim Ansetzen der Spritzbrühe sind Schutzhandschuhe zu tragen. Bei den Anwendungen ""Giessen"" und ""Überbrausen"" sind bei Nachfolgearbeiten in behandelten Kulturen bis 48 Stunden nach Ausbringung des Mittels Schutzhandschuhe zu tragen.",17
238,"Beweidung oder Schnitt (Grünfutter oder Konservierung) frühestens 3 Wochen nach der Behandlung.",17
239,"Erste Behandlung bei Infektionsgefahr bzw. ab Warndiensthinweis.",17
240,"Keine Anwendung bei extrem heisser Witterung.",17
241,"Keine Behandlung mit Hand- oder Rückenspritze.",17
242,"Maximal 4 Behandlungen pro Kultur und Jahr.",17
243,"Maximal 6 Behandlungen pro Kultur und Jahr.",17
244,"Möglichst geringe Ausgangspopulation (nicht über 1-2% Befall im Vorjahr).",17
245,"Nur bei starkem Befall und bei anfälligen Sorten.",17
246,"SPa 1: Zur Vermeidung einer Resistenzbildung darf dieses oder irgendein anderes Pflanzenschutzmittel, welches ein Pyrethroid enthält, nicht mehr als 1 mal pro Kultur ausgebracht werden.",17
247,"SPa 1: Zur Vermeidung einer Resistenzbildung maximal 4 Behandlungen pro Parzelle und Jahr mit Produkten aus der Wirkstoffgruppe FRAC Nr. 03 (SSH = Sterolsynthesehemmer = Triazole).",17
248,"Tiefere Dosierung auf sandigen, schwach humosen Böden; höchste Dosierung auf schweren, humosen Böden.",17
249,"Während der Behandlungszeit sicherstellen, dass niemand den Raum betritt.",17
250,"Ansetzen der Spritzbrühe: Schutzhandschuhe + Schutzanzug + Schutzbrille + Atemschutzmaske (P3) tragen.",16
251,"Ansetzen der Spritzbrühe: Schutzhandschuhe + Schutzanzug tragen. Ausbringen der Spritzbrühe: Schutzhandschuhe + Schutzanzug + Visier + Kopfbedeckung tragen. Technische Schutzvorrichtungen während des Ausbringens (z.B. geschlossene Traktorkabine) können die vorgeschriebene persönliche Schutzausrüstung ersetzen, wenn gewährleistet ist, dass sie einen vergleichbaren oder höheren Schutz bieten.",16
252,"Anwendung frühestens 6 Monate nach Pflanzung.",16
253,"Beizen des Saatguts: Schutzhandschuhe + Schutzanzug + Schutzbrille tragen",16
254,"Die Behandlung ist nach Austrieb oder nach einem ersten Schnitt vor der Bildung der Blütentriebe durchzuführen.",16
255,"Die Wirksamkeit des Produktes kann je nach Bodenfeuchtigkeit variieren.",16
256,"In Tankmischung mit Folpet-haltigen Präparaten.",16
257,"Keine Anwendung in Beständen mit blühenden Pflanzen.",16
258,"Maximal 32 l/ha pro Parzelle und Jahr.",16
259,"Maximal 4 Behandlungen pro Kultur.",16
260,"Pro Parzelle und Jahr insgesamt nicht mehr als 1680 g des Wirkstoffs Dithianon pro Hektar anwenden.",16
261,"Sortenempfindlichkeit gemäss den Angaben der Bewilligungsinhaberin beachten.",16
262,"SPa 1: Zur Vermeidung einer Resistenzbildung maximal 3 Behandlungen pro Kultur und Jahr mit Produkten aus der Wirkstoffgruppe FRAC C3 (u.a. Strobilurine).",16
263,"Bei der Ausbringung des Präparates ist eine sporenundurchlässige Schutzmaske zu tragen.",15
264,"Gebrauchsfertig.",15
265,"SPa 1: Zur Vermeidung einer Resistenzbildung dürfen Pflanzenschutzmittel mit einem Wirkstoff der Gruppe der SDHI (succinate dehydrogenase inhibitors) nicht mehr als 1 mal pro Kultur ausgebracht werden.",15
266,"SPe 1 - Zum Schutz des Grundwassers maximal 2 Anwendungen mit Trifloxystrobin-haltigen Produkten pro Kultur und Jahr.",15
267,"SPe 3: Zum Schutz von Gewässerorganismen vor den Folgen von Drift eine unbehandelte Pufferzone von 100 m zu Oberflächengewässern einhalten. Diese Distanz kann beim Einsatz von driftreduzierenden Massnahmen gemäss den Weisungen der Zulassungsstelle reduziert werden.",15
268,"SPe 8: Gefährlich für Bienen - Anwendung im geschlossenen Gewächshaus sofern keine Bestäuber zugegen sind.",15
269,"SPe 8: Gefährlich für Bienen - Darf nur ausserhalb des Bienenfluges am Abend mit blühenden oder Honigtau aufweisenden Pflanzen in Kontakt kommen.",15
270,"Splitbehandlungen möglich. Die Aufwandmenge im Vor- und Nachauflauf darf insgesamt 540 g Metribuzin/ha pro Kultur nicht überschreiten.",15
271,"Behandlung bei Befallsbeginn.",14
272,"Behandlung von Unkräutern und Ungräsern mit weniger als 10 cm Höhe.",14
273,"Behandlungen im Abstand von mindestens 7-10 Tagen.",14
274,"Behandlungen nur während dem Flug (gemäss kritischer Fangzahl) im Abstand von mindestens 7 Tagen.",14
275,"Blüten nicht behandeln.",14
276,"Die Beizung des Saatgutes darf nur im Ausland erfolgen.",14
277,"Höhere Aufwandmengen bei starkem Befallsdruck.",14
278,"Nicht bei Sonnenlicht und warmen Temperaturen behandeln, vorzugsweise abends.",14
279,"Nur in Tankmischung mit Captan (80% WG), Konz. 0.1%.",14
280,"SPa 1: Zur Vermeidung einer Resistenzbildung maximal 3 Behandlungen pro Parzelle und Jahr mit Produkten aus der Wirkstoffgruppe FRAC G1 (Sterolsynthesehemmer, SSH).",14
281,"SPe 1 - Zum Schutz von Grundwasser nicht mehr als 60 g des Wirkstoffs Nicosulfuron pro ha auf der gleichen Parzelle innerhalb von 2 Jahren anwenden.",14
282,"Vorbeugende Anwendung.",14
283,"Zum Schutz von Dritten eine unbehandelte Pufferzone von 20 m zu Wohnflächen und öffentlichen Anlagen einhalten. Diese Distanz kann beim Einsatz von driftreduzierenden Massnahmen gemäss den Weisungen der Zulassungsstelle reduziert werden.",14
284,"Ansetzen der Spritzbrühe: Schutzhandschuhe + Schutzbrille + Atemschutzmaske (A2) tragen. Ausbringen der Spritzbrühe: Schutzhandschuhe + Schutzanzug tragen. Technische Schutzvorrichtungen während des Ausbringens (z.B. geschlossene Traktorkabine) können die vorgeschriebene persönliche Schutzausrüstung ersetzen, wenn gewährleistet ist, dass sie einen vergleichbaren oder höheren Schutz bieten.",13
285,"Beizen des Saatguts: Schutzhandschuhe + Schutzanzug tragen.",13
286,"Keine Niederschläge während mindestens 4 Stunden nach der Behandlung.",13
287,"Maximal 2 Behandlungen pro Kultur im Abstand von 7 Tagen.",13
288,"SPe 3: Zum Schutz von Nichtzielorganismen muss sicher gestellt werden, dass nur die zu schützenden Pflanzen besprüht werden",13
289,"SPe 8 - Gefährlich für Bienen: Darf nicht mit blühenden oder Honigtau aufweisenden Pflanzen (z.B. Kulturen, Einsaaten, Unkräutern, Nachbarkulturen, Hecken) in Kontakt kommen. Blühende Einsaaten oder Unkräuter sind vor der Behandlung zu entfernen (am Vortag mähen/mulchen).",13
290,"SPe 8: Gefährlich für Bienen - Darf nicht mit blühenden oder Honigtau aufweisenden Pflanzen in Kontakt kommen. Blühende Einsaaten oder Unkräuter vor der Behandlung entfernen (mähen oder mulchen). Darf nicht angewendet werden, wenn sich blühende Pflanzen in benachbarten Parzellen befinden.",13
291,"Anlagegrösse nicht unter 1-2 ha.",12
292,"Bei der Herstellung der Brühe ist darauf zu achten, dass diese im Tank sehr gut durchmischt wird, damit eine homogene Brühe entsteht.",12
293,"Bei Frühkartoffeln 3 Wochen Wartefrist.",12
294,"Boden vor der Behandlung befeuchten.",12
295,"Die Kultur darf bei der Herbizidbehandlung nicht getroffen werden. Anwendung unter Abschirmung erforderlich.",12
296,"Die Kultur darf während der Behandlung nicht in Kontakt mit dem Herbizid kommen. Anwendung unter Abschirmung erforderlich.",12
297,"Flächenbehandlung.",12
298,"Gebinde vor Gebrauch gut schütteln.",12
299,"In Kombination mit Orius-Raubwanzen einsetzen.",12
300,"In Tankmischung mit organischen Fungiziden genügt die Hälfte der aufgeführten Aufwandmenge.",12
301,"Kein manuelles Ausbringen des Granulats.",12
302,"Keine Behandlungen im Hochsommer (Mitte Juni bis Ende August).",12
303,"Maximal 2 Behandlungen pro Kultur im Abstand von 10-14 Tagen.",12
304,"Maximal 2 Behandlungen pro Parzelle und Jahr mit Produkten aus der selben Wirkstoffgruppe.",12
305,"Nur in Tankmischung mit Malvin WG 0.1% (1.6 kg/ha) oder mit 336 g Dithianon pro ha eines Dithianon-haltigen Produktes.",12
306,"Sandige und humusarme Böden dürfen nicht behandelt werden.",12
307,"Sehr selten und unter aussergewöhnlichen Umständen kann es beim Menschen durch die im Produkt enthaltenen Bakterien zu Infektionen kommen. Es sind deshalb folgende Vorsichtsmassnahmen zu treffen:   Keine essbaren Pflanzenteile behandeln.   Präparat nicht einnehmen und für Kinder unerreichbar aufbewahren.   Personen, deren Immunsystem durch bestimmte Krankheiten oder Eingriffe (z.B. Transplantationen, Chemotherapie) geschwächt ist, sollten das Produkt nicht verwenden.   Nach der Anwendung die Hände waschen.",12
308,"SPe 1 - Zum Schutz von Grundwasser nicht mehr als 0.75 kg des Wirkstoffs Terbuthylazine pro ha auf der gleichen Parzelle innerhalb von 3 Jahren anwenden.",12
309,"SPe 3: Zum Schutz von Gewässerorganismen vor den Folgen von Drift und einer allfälligen Abschwemmung ist eine mit einer geschlossenen Pflanzendecke bewachsene unbehandelte Pufferzone von 6 m zu Oberflächengewässern einzuhalten.",12
310,"SPe 8 - Gefährlich für Bienen: Darf nicht mit blühenden oder Honigtau aufweisenden Pflanzen (z.B. Kulturen, Einsaaten, Unkräutern, Nachbarkulturen, Hecken) in Kontakt kommen.",12
311,"Spe1 - Zum Schutz von Grundwasser Thifensulfuron-methyl-haltige Pflanzenschutzmittel nach einer Anwendung in Getreide nur alle 3 Jahre auf derselben Parzelle einsetzen.",12
312,"Tankmischung mit Netz- und Haftmittel gemäss den Angaben der Bewilligungsinhaberin.",12
313,"Tiefere Aufwandmenge bei geringem Befallsdruck bzw. kleinen Schnecken. Bis zur angegebenen Maximalmenge bei hohem Befallsdruck bzw. grossen Schnecken.",12
314,"Zugabe eines durch die Firma zu bestimmenden Adjuvantes 0.5 % auf der Basis von Rapsöl.",12
315,"Zum Schutz von wildlebenden Säugern und Vögeln nicht mehr als 70 mg des Wirkstoffes Metaldehyd pro m2 auf derselben Parzelle innerhalb eines Jahres anwenden.",12
316,"Zweite Behandlung; bei stärkerem Befall.",12
317,"Als Zusatz zu den durch die Firma zu bestimmenden Herbiziden, Insektiziden und Fungiziden.",11
318,"Als Zusatz zu Netzschwefel.",11
319,"Ansetzen der Spritzbrühe: Schutzhandschuhe + Schutzbrille oder Visier tragen. Ausbringen der Spritzbrühe: Schutzbrille oder Visier tragen",11
320,"Der pH-Wert der Spritzbrühe muss tiefer als 8 sein.",11
321,"Die Beratung über den Einsatz und die Qualitätskontrolle der Nützlinge muss durch die Import- und Vertriebsfirma sichergestellt werden.",11
322,"Maximal 3 Behandlungen pro Kultur mit diesem Produkt oder einem anderen Produkt, das diesen Wirkstoff enthält.",11
323,"Maximal 8 Behandlungen pro Parzelle und Jahr mit einem Produkt, das den Wirkstoff Dithianon enthält.",11
324,"Nachblütebehandlungen nur bei schwefelverträglichen Sorten.",11
325,"Nachfolgearbeiten in behandelten Kulturen dürfen frühestens 48 Stunden nach Ausbringung ausgeführt werden. Danach weitere 48 Stunden: Schutzhandschuhe + Schutzanzug tragen.",11
326,"Nur in Tankmischung gemäss den Angaben der Bewilligungsinhaberin.",11
327,"Nur in Tankmischung mit Netzschwefel 80% (0.2%, 3.2 kg/ha).",11
328,"Produkt nicht bei Temperaturen unter dem Gefrierpunkt lagern.",11
329,"Risiko von Phytotoxizität. Die Empfehlungen der Bewilligungsinhaberin sind zu befolgen.",11
330,"SPa 1: Zur Vermeidung einer Resistenzbildung maximal 3 Behandlungen pro Parzelle und Jahr mit Produkten aus der Wirkstoffgruppe FRAC Nr. 40 (Carboxylic acid amides, CAA).",11
331,"SPa 1: Zur Vermeidung einer Resistenzbildung maximal 3 Behandlungen pro Parzelle und Jahr mit Produkten aus der Wirkstoffgruppe FRAC Nr.11 (Strobilurine, QoI-Hemmer).",11
332,"SPe 1 - Zum Schutz von Grundwasser dieses Pflanzenschutzmittel oder andere Aminopyralid-haltige Pflanzenschutzmittel nicht mehr als 1 mal alle 2 Jahre auf derselben Parzelle anwenden.",11
333,"Splitbehandlung gemäss den Angaben der Bewilligungsinhaberin (angegebene Aufwandmenge entspricht total bewilligter Menge).",11
334,"Tropfnass spritzen.",11
335,"Anlagegrösse nicht unter 1-2 ha.  Reihenabstand nicht über 4.5 m.",10
336,"Ansetzen der Spritzbrühe: Atemschutzmaske (P2) tragen.",10
337,"Ansetzen der Spritzbrühe: Schutzhandschuhe + Atemschutzmaske (P3) tragen. Ausbringen der Spritzbrühe: Schutzhandschuhe + Schutzanzug + Atemschutzmaske (P3) tragen. Technische Schutzvorrichtungen während des Ausbringens (z.B. geschlossene Traktorkabine) können die vorgeschriebene persönliche Schutzausrüstung ersetzen, wenn gewährleistet ist, dass sie einen vergleichbaren oder höheren Schutz bieten.",10
338,"Ansetzen der Spritzbrühe: Schutzhandschuhe + Atemschutzmaske (P3) tragen. Ausbringen der Spritzbrühe: Schutzhandschuhe tragen. Technische Schutzvorrichtungen während des Ausbringens (z.B. geschlossene Traktorkabine) können die vorgeschriebene persönliche Schutzausrüstung ersetzen, wenn gewährleistet ist, dass sie einen vergleichbaren oder höheren Schutz bieten.",10
339,"Ansetzen der Spritzbrühe: Schutzhandschuhe + Schutzanzug tragen. Ausbringen der Spritzbrühe: Schutzhandschuhe + Schutzanzug + Kopfbedeckung tragen. Technische Schutzvorrichtungen während des Ausbringens (z.B. geschlossene Traktorkabine) können die vorgeschriebene persönliche Schutzausrüstung ersetzen, wenn gewährleistet ist, dass sie einen vergleichbaren oder höheren Schutz bieten.",10
340,"Ansetzen der Spritzbrühe: Schutzhandschuhe + Schutzbrille + Atemschutzmaske (P3) tragen. Ausbringen der Spritzbrühe: Schutzhandschuhe + Schutzanzug + Kopfbedeckung tragen. Technische Schutzvorrichtungen während des Ausbringens (z.B. geschlossene Traktorkabine) können die vorgeschriebene persönliche Schutzausrüstung ersetzen, wenn gewährleistet ist, dass sie einen vergleichbaren oder höheren Schutz bieten.",10
341,"Anzucht von Jungpflanzen und Saatbeet-Behandlung.",10
342,"Auf Vorsichtsmassnahmen zum Schutz vor Vergiftungen (Mensch, Haus- und  Wildtiere) ist hinzuweisen.",10
343,"Ausbringen der Spritzbrühe mit Hand- oder Rückenspritze: Schutzanzug tragen.",10
344,"Ausbringen der Spritzbrühe: Schutzhandschuhe + Schutzanzug tragen.",10
345,"Befristete Haltbarkeit (Verfallsdatum auf Gebinde) beachten.",10
346,"Befüllen der Maschinen mit dem Granulat: Schutzhandschuhe + Schutzbrille oder Visier tragen. Ausbringen des Granulats: Schutzhandschuhe tragen. Technische Schutzvorrichtungen während des Ausbringens (z.B. geschlossene Traktorkabine) können die vorgeschriebene persönliche Schutzausrüstung ersetzen, wenn gewährleistet ist, dass sie einen vergleichbaren oder höheren Schutz bieten.",10
347,"Behandlungen im Abstand von 14 Tagen.",10
348,"Behandlungen in 350 l Wasser 1 mal pro Woche, sobald 30 % der Pflanzen aufgelaufen sind.",10
349,"Behandlungsintervall 7-10 Tage.",10
350,"Bei Ausbringung und Handhabung des Mittels sind Schutzhandschuhe und ein Schutzanzug zu tragen.",10
351,"Das Mittel darf nicht bei Regen, starkem Nebel oder stark durchfeuchteten Böden ausgelegt werden. An der Luft oder bei Einwirkung von Feuchtigkeit entwickelt sich Phosphorwasserstoff, ein für Menschen und auch Tiere sehr giftiges Gas, das leicht entzündlich und wegen seines charakteristischen Geruches gut wahrnehmbar ist.",10
352,"Das Mittel darf niemals mit Wasser in Berührung kommen. Im Brandfall mit trockenem Sand löschen.",10
353,"Das Mittel darf nur im freien Gelände angewendet werden, jedoch nicht unter Gebäuden und in deren Nähe, damit das Eindringen des entstehenden Gases in die Gebäude vermieden wird.",10
354,"Das Mittel ist stets trocken zu lagern: nur in verschlossener Originalverpackung und nur in abseits von Wohnungen gelegenen Räumen, die nicht für den ständigen Aufenthalt von Menschen und Haustieren bestimmt sind.",10
355,"Die Auslegestellen sind gut zu verschliessen.",10
356,"Die behandelte Fläche soll während zweier Tage nicht betreten werden.",10
357,"Die Kulturpflanzen dürfen mit dem Herbizid nicht in Kontakt kommen.",10
358,"Die Originalverpackung darf nur im Freien geöffnet werden. Nach Entnahme des Mittels ist die Originalverpackung wieder ordnungsgemäß und dicht zu verschließen.",10
359,"Die Windrichtung ist zu beachten, um das Einatmen von Phosphorwasserstoff zu vermeiden.",10
360,"Es ist auf das Risiko von vorübergehenden Blattchlorosen unmittelbar nach der Behandlung hinzuweisen.",10
361,"Getreide-Fräsbreitsaaten sind von dieser Bewilligung ausgenommen. Es dürfen nur Saaten behandelt werden, die eine gleichmässige Saattiefe aufweisen.",10
362,"Keine Behandlung von der Blüte bis zum Ende der Ernte.",10
363,"Maximal 3 Behandlungen pro Kultur im Abstand von 7 Tagen.",10
364,"Maximal 3 Behandlungen pro Kultur im Abstand von 7-14 Tagen.",10
365,"Nicht bei Frühkartoffeln anwenden.",10
366,"Pflanzen allseitig gut benetzen. Behandlung nach Bedarf wiederholen.",10
367,"SPa 1: Zur Vermeidung einer Resistenzbildung darf dieses oder irgendein anderes Pflanzenschutzmittel, welches Emamectinbenzoat enthält, nicht mehr als zwei Mal pro Parzelle und Jahr ausgebracht werden.",10
368,"SPa 1: Zur Vermeidung einer Resistenzbildung darf dieses oder irgendein anderes Produkt, welches einen Wirkstoff aus der Wirkstoffgruppe SDHI enthält, nicht mehr als 3 mal pro Parzelle und Jahr ausgebracht werden.",10
369,"Anwendung nur bis spätestens Ende Juli.",9
370,"Anwendung nur in einem geschlossenen dauerhaft errichteten Gewächshaus.",9
371,"Behandlung nur im Frühjahr oder Sommer bis Ende August.",9
372,"Behandlungen im Abstand von 6-14 Tagen.",9
373,"Behandlungsintervall 5-7 Tage.",9
374,"Bei der Anwendung des Mittels Schutzhandschuhe + mindestens langärmliges Hemd + lange Hosen + festes Schuhwerk + Schutzbrille tragen.",9
375,"Bei der Anwendung des Mittels Schutzhandschuhe + mindestens langärmliges Hemd + lange Hosen + festes Schuhwerk tragen.",9
376,"Bei Nachfolgearbeiten in behandelten Kulturen bis 48 Stunden nach Anwendung des Mittels Schutzhandschuhe zu tragen.",9
377,"Bewilligt nur für die Behandlung folgender Erntegüter: Getreide.",9
378,"Die Keimzahl im Endprodukt darf höchstens 10^8 CFU/ml betragen. Jeder Batch muss vor dem Verkauf durch ein anerkanntes Labor geprüft werden. Die Analysedaten müssen auf Verlangen der Zulassungsstelle vorgelegt werden.",9
379,"Erste Behandlung bei Befallsbeginn, bei Bedarf nach 7 Tagen wiederholen.",9
380,"Maximal 3 Behandlungen pro Kultur mit diesem Produkt oder einem anderen Produkt, das den Wirkstoff Tebuconazole enthält.",9
381,"Maximal 8 Behandlungen pro Kultur.",9
382,"Mittelschwerer, schwach humoser Boden.",9
383,"Moorboden.",9
384,"Nicht bei Temperaturen über 25°C anwenden.",9
385,"Notwendige Wartefrist bis zur nachfolgender Bodenbearbeitung oder Saat: 4 Tage.",9
386,"Sandiger, schwach humoser Boden.",9
387,"Sicherstellen, dass der behandelte Rasen bis zum nächsten Schnitt (inklusive Entfernung Schnittgut) nur mit langärmeligen Hemd + langen Hosen + festem Schuhwerk betreten wird.",9
388,"SPa 1: Zur Vermeidung einer Resistenzbildung maximal 3 Behandlungen pro Kultur mit Produkten aus der Wirkstoffgruppe FRAC Nr.21 (Quinone inside Inhibitors, QiI).",9
389,"Tiefere Aufwandmenge auf Mineralböden, höhere Aufwandmenge auf humusreichen Böden und Moorböden.",9
390,"Vorsicht: Resistenzgefahr! Produkt im Wechsel mit Produkten anderer Wirkstoffgruppen einsetzen.",9
391,"1-2 Behandlungen.",8
392,"3 Wochen Wartefrist bis zum nächsten Schnitt oder Weidegang.",8
